iso,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000_2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018
NPL,30,14783624,5165432,4805818,1992,1525,2130,2292,2482,2759,3258,3469,2996,5532,2350,2822,5051,836,1163,582,999,2396,1673
NPL,50,14783624,4311787,3550640,1174,1316,1825,1912,1896,2311,2660,2825,2418,4555,1812,2448,4312,672,925,503,833,2043,1403
NPL,75,14783624,2133785,1708996,418,889,1280,1216,1016,1577,1569,1827,1454,2998,1056,1704,2984,295,409,246,402,1006,614
NRU,10,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRU,15,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRU,20,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRU,25,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRU,30,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRU,50,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRU,75,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZL,10,26764478,11593635,11962926,402808,50627,63304,44868,60717,52617,61705,62758,61442,59668,56150,60013,69809,78185,80173,64483,81167,75673,80128
NZL,15,26764478,11514023,11876464,401567,50624,63300,44864,60715,52611,61702,62753,61435,59665,56144,60005,69791,78121,80093,64438,81075,75579,80055
NZL,20,26764478,11434530,11701085,391949,50608,63285,44851,60702,52586,61679,62728,61422,59654,56132,59989,69738,77929,79828,64304,80873,75332,79783
NZL,25,26764478,11373493,11624962,387251,50593,63273,44844,60686,52574,61667,62715,61410,59644,56121,59976,69697,77788,79669,64204,80697,75139,79585
NZL,30,26764478,11271269,11449663,377045,50558,63248,44819,60666,52547,61638,62683,61394,59627,56100,59947,69627,77563,79375,64051,80444,74868,79248
NZL,50,26764478,10810509,10619257,338884,50362,63071,44687,60481,52330,61460,62486,61224,59509,55955,59794,69185,76181,77919,63162,79017,73237,77521
NZL,75,26764478,9378581,9340514,281892,49129,61937,43793,59273,50984,60161,61060,60155,58688,55159,58802,67323,71721,73238,59696,72908,67243,71685
